id,TRIAL,YR,LOC,,ENV,Trial_env,REP,BLK,GENcode,Designation,GEN,Company,PLOT.WT,COB,MOIST,Yield,TEMP_v3,RH_v3,VPD_v3,TEMP_veg,RH_veg,VPD_veg,TEMP_flow,RH_flow,VPD_flow,TEMP_gf,RH_gf,VPD_gf
1,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G1,,ALBAYRAK,,12.6,16.4,14.1,15.03050233,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
2,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G2,,H2,,12.8,14.9,17.1,15.00021794,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
3,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G3,,H3,,13.6,12.2,14.6,16.93927442,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
4,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G4,,H4,,15.8,12.1,15.2,19.56344452,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
5,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G5,,H5,,12.2,13.6,15.1,14.86567973,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
6,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G6,,ALBAYRAK,,14.8,12.7,15.4,18.15723987,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
7,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G7,,H6,,15.6,12.4,15,19.29528239,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
8,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G8,,ALBAYRAK,,12.6,15.2,14.6,15.15750698,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
9,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G9,,ALBAYRAK,,13,11.3,16,16.08976744,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
10,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G10,,H7,,13.4,16.4,17.1,15.4265608,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
11,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G11,,H8,,13.8,15.1,16.2,16.30926179,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
12,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G12,,H9,,14.2,13.2,15.8,17.23946047,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
13,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G13,,H10,,14,15.1,14.6,16.86153488,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
14,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G14,,H11,,11,16.9,13.8,13.0889402,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
15,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G15,,H12,,13.1,17.2,17.6,14.84678272,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
16,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G16,,H13,,13.2,19.1,15.2,15.04256213,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
17,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G17,ST,DKC6589,DEKALB,10.2,14.4,15.5,12.25558804,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
18,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G18,ST,HELEN,LIMAGRAIN,14.2,16.3,14.7,16.84094053,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
19,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G19,ST,KERMES,KWS,12.7,15.1,15.1,15.20626694,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
20,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G20,ST,P31G98,PIONEER,11.4,14.3,15.8,13.66473688,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
21,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G21,ST,P1921,PIONEER,13.8,10.9,14.8,17.40202924,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
22,LT,2015,Adana,ADANA,ADANA2015,LT-ADANA2015,4,,G22,ST,DKC6590,DEKALB,16.6,12.5,16.2,20.21918605,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
1,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G1,,ALBAYRAK,,18.1,15.2,19.3,20.57555083,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
2,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G2,,H2,,14.9,17.6,20.2,16.27495814,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
3,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G3,,H3,,18,15.4,21.3,19.907701,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
4,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G4,,H4,,16.2,14.7,23.5,17.56018106,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
5,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G5,,H5,,15.5,18,20.9,16.70034884,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
6,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G6,,ALBAYRAK,,21.15,15.4,23.3,22.79710017,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
7,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G7,,H6,,19.1,14,26.6,20.02771429,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
8,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G8,,ALBAYRAK,,21.5,16.7,23.3,22.81825,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
9,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G9,,ALBAYRAK,,20.8,14.4,24.5,22.3299402,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
10,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G10,,H7,,23.35,16.6,25.2,24.19680598,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
11,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G11,,H8,,14.8,17,19.9,16.34465781,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
12,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G12,,H9,,16.5,18.8,20.7,17.64886047,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
13,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G13,,H10,,13.65,17.8,21.1,14.70567558,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
14,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G14,,H11,,16.15,18.9,22,16.97037708,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
15,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G15,,H12,,15.5,17.4,18.8,17.26916279,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
16,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G16,,H13,,16.4,19.7,19.3,17.65372824,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
17,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G17,ST,DKC6589,DEKALB,15.05,14.1,20.4,17.0941,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
18,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G18,ST,HELEN,LIMAGRAIN,16.5,15,21.6,18.26511628,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
19,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G19,ST,KERMES,KWS,16.8,17.2,18.9,18.73975814,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
20,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G20,ST,P31G98,PIONEER,15.5,14.4,19.9,17.65393355,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
21,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G21,ST,P1921,PIONEER,16.6,14.1,20.7,18.78356179,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
22,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,1,,G22,ST,DKC6590,DEKALB,15.25,11.4,16.5,18.74103405,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
1,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,2,,G1,,ALBAYRAK,,16.4,15,20.5,18.40913621,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
2,LT,2015,Altinova,AYVALIK,AYVALIK2015,LT-AYVALIK2015,2,,G2,,H2,,16.5,16.5,20.1,18.28608389,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
