id,TRIAL,Trial_env,ENV,Trial_env,REP,GEN,sve,Above_median_BLUP,Company,PLOT.WT,COB,MOIST,Yield,TEMP_v3,RH_v3,VPD_v3,TEMP_veg,RH_veg,VPD_veg,TEMP_flow,RH_flow,VPD_flow,TEMP_gf,RH_gf,VPD_gf
40,LT,1,ADANA2018,,1,H22,LTADANA2018H221,AM,0,11.43,11,19.1,13.67062176,24.4,62.8,1129.899614,26.4,70.2,1018.867484,29.1,69.8,1208.049497,29.6,68.8,1284.419303
41,LT,2,ADANA2019,,1,H22,LTADANA2019H221,NA,NA,NA,NA,NA,NA,24.1,57.6,1264.982487,27.1,68.7,1114.947256,28.4,68.8,1198.642242,29.6,68,1317.353131
42,LT,2,AYVALIK2015,,1,H22,LTAYVALIK2015H221,NA,NA,NA,NA,NA,NA,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
43,LT,2,AYVALIK2017,,1,H22,LTAYVALIK2017H221,NA,NA,12.8,13.7,19.8,14.71630033,20.4,59.4,967.8977476,25.1,58.5,1314.090861,27.7,49.7,1855.529395,28,49.9,1880.645094
44,LT,2,AYVALIK2018,,1,H22,LTAYVALIK2018H221,AM,0,15.15,12.9,21.2,17.2727113,22.5,59,1111.005522,25.2,58.2,1331.461611,28.2,56.9,1636.752826,28.5,53.2,1808.392047
45,LT,2,AYVALIK2019,,1,H22,LTAYVALIK2019H221,NA,NA,NA,NA,NA,NA,20.1,65.4,809.7645226,26.4,56.9,1473.596931,26.6,52.4,1646.6684,28.1,48.4,1948.220556
46,LT,2,MANISA2015,,1,H22,LTMANISA2015H221,NA,NA,NA,NA,NA,NA,21.6,51.7,1239.220546,23.7,58.4,1211.750646,28.8,42.8,2248.882322,28.6,49.8,1951.013707
47,LT,2,MANISA2016,,1,H22,LTMANISA2016H221,AM,0,14.3,6.9,11.4,19.59399302,19.7,58,958.9777322,26.9,47.6,1844.857003,29,42.8,2274.957698,28.8,49.1,2001.190738
48,LT,2,MANISA2017,,1,H22,LTMANISA2017H221,NA,NA,13.05,9.3,10.6,17.5775696,20.8,54.1,1121.454446,25.7,52.3,1565.008969,28.9,43.2,2246.069921,28.5,47.2,2040.237181
49,LT,3,MANISA2018,,1,H22,LTMANISA2018H221,AM,0,10.55,9.1,11.7,14.06632201,22.9,54.7,1257.549619,25.3,54.8,1448.317966,28.5,49.2,1962.95547,29,49.5,2008.48538
50,LT,3,MANISA2019,,1,H22,LTMANISA2019H221,NA,NA,NA,NA,NA,NA,21.4,51.9,1219.131868,26.7,51.7,1680.708219,27.7,45.9,1995.708554,29.1,43.6,2256.092437
51,LT,3,MERSIN2015,,1,H22,LTMERSIN2015H221,NA,NA,NA,NA,NA,NA,22.7,62.2,1036.753392,25.4,66.6,1076.572083,28.6,67.7,1255.333521,30.3,60.8,1679.672048
52,LT,3,MERSIN2016,,1,H22,LTMERSIN2016H221,AM,0,13.77,10,16.1,17.27197176,21.7,65.5,890.5646411,26.8,65.5,1207.559008,29.6,65.6,1416.154616,30,64.4,1499.506342
53,LT,3,MERSIN2019,,1,H22,LTMERSIN2019H221,NA,NA,NA,NA,NA,NA,23.3,59.9,1140.338467,27,66.7,1179.277179,28.9,62.6,1478.926321,30,61.7,1613.232947
54,LT,3,SAKARYA2019,,1,H22,LTSAKARYA2019H221,NA,NA,NA,NA,NA,NA,20,62.5,872.2403524,23.7,68.7,911.725847,23.5,67,949.7790587,23.9,69.1,910.9231481
55,LT,3,ADANA2015,,1,H3,LTADANA2015H31,BM,0,13.6,12.2,14.1,17.0384505,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
56,LT,3,ADANA2016,,1,H3,LTADANA2016H31,BM,0,14.959,10,15.2,18.96463256,21.6,69.3,787.6619206,27.1,66.1,1207.562683,29.5,67.5,1330.284186,29.9,69,1298.303609
57,LT,4,ADANA2017,,1,H3,LTADANA2017H31,NA,NA,NA,NA,NA,NA,21.8,68.8,810.2961797,26.2,69.1,1044.129697,30.4,64.4,1534.139224,29.9,67.5,1361.124752
58,LT,4,ADANA2018,,1,H3,LTADANA2018H31,NA,NA,NA,NA,NA,NA,24.4,62.8,1129.899614,26.4,70.2,1018.867484,29.1,69.8,1208.049497,29.6,68.8,1284.419303
59,LT,4,ADANA2019,,1,H3,LTADANA2019H31,NA,NA,NA,NA,NA,NA,24.1,57.6,1264.982487,27.1,68.7,1114.947256,28.4,68.8,1198.642242,29.6,68,1317.353131
60,LT,4,AYVALIK2015,,1,H3,LTAYVALIK2015H31,BM,0,18,15.4,21.3,19.907701,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
61,LT,4,AYVALIK2017,,1,H3,LTAYVALIK2017H31,NA,NA,NA,NA,NA,NA,20.4,59.4,967.8977476,25.1,58.5,1314.090861,27.7,49.7,1855.529395,28,49.9,1880.645094
62,LT,4,AYVALIK2018,,1,H3,LTAYVALIK2018H31,NA,NA,NA,NA,NA,NA,22.5,59,1111.005522,25.2,58.2,1331.461611,28.2,56.9,1636.752826,28.5,53.2,1808.392047
